	vclaim	title
190	Did Barack Obama Endorse Michael Bloomberg?	Did Barack Obama Endorse Michael Bloomberg?
191	Does Pete Buttigieg Own The Firm That Created The Voting App For The Iowa Caucuses?	Does Pete Buttigieg Own The Firm That Created The Voting App For The Iowa Caucuses?
192	Were The First 23 Black Senators Republicans?	Were The First 23 Black Senators Republicans?
193	Are There 8 Confirmed Coronavirus Cases In Nashville?	Are There 8 Confirmed Coronavirus Cases In Nashville?
194	Are People Using Red Porch Lights To Signal Their Homes Are Gun-Free?	Are People Using Red Porch Lights To Signal Their Homes Are Gun-Free?
195	Can Noncitizens Use Chicago’s CityKey IDs To Vote In Local, State And Federal Elections?	Can Noncitizens Use Chicago’s CityKey IDs To Vote In Local, State And Federal Elections?
196	Viral Image Claims To Show A CNN Article About Bernie Sanders Insulting Pete Buttigieg	Viral Image Claims To Show A CNN Article About Bernie Sanders Insulting Pete Buttigieg
197	Viral Image Claims Cocaine ‘Kills’ The Coronavirus	Viral Image Claims Cocaine ‘Kills’ The Coronavirus
198	Does This Video Show The Market Where The Coronavirus Outbreak Originated?	Does This Video Show The Market Where The Coronavirus Outbreak Originated?
199	Was A Missing Palestinian Boy Kidnapped And Murdered By ‘Zionist Terrorists’?	Was A Missing Palestinian Boy Kidnapped And Murdered By ‘Zionist Terrorists’?
200	Video Claims Vanessa Bryant Committed Suicide	Video Claims Vanessa Bryant Committed Suicide
201	Did Rick Santorum Say He Has ‘No Problem’ With John Bolton Testifying After ‘This Impeachment Thing Ends’?	Did Rick Santorum Say He Has ‘No Problem’ With John Bolton Testifying After ‘This Impeachment Thing Ends’?
202	Did ‘The Simpsons’ Predict The Coronavirus Outbreak?	Did ‘The Simpsons’ Predict The Coronavirus Outbreak?
203	Does A Bill Gates-Funded Research Institute Own The Patent For Coronavirus?	Does A Bill Gates-Funded Research Institute Own The Patent For Coronavirus?
204	Did Obama Order A Drone Strike On A Wedding That Killed 10 Women And 23 Children?	Did Obama Order A Drone Strike On A Wedding That Killed 10 Women And 23 Children?
205	Viral Image Claims California Is Registering Non-Citizens To Vote And Not Complying With The ‘Federal Election Integrity Program’	Viral Image Claims California Is Registering Non-Citizens To Vote And Not Complying With The ‘Federal Election Integrity Program’
206	Did An 11 Year-Old ‘Shark Tank’ Contestant Invent A Device To Give The World Free Wi-Fi?	Did An 11 Year-Old ‘Shark Tank’ Contestant Invent A Device To Give The World Free Wi-Fi?
207	Did A Texas Man Dressed Up As An Alien Kidnap 79 People?	Did A Texas Man Dressed Up As An Alien Kidnap 79 People?
208	Did ‘Thousands’ Of ‘Far-Right Extremists’ Attend The Richmond Pro-Gun Rally?	Did ‘Thousands’ Of ‘Far-Right Extremists’ Attend The Richmond Pro-Gun Rally?
209	Have 183 People Been Arrested For Deliberately Starting The Australian Wildfires?	Have 183 People Been Arrested For Deliberately Starting The Australian Wildfires?
210	Viral Instagram Post Claims MLK Didn’t Die From A Gunshot	Viral Instagram Post Claims MLK Didn’t Die From A Gunshot
211	Does This Photo Show Lev Parnas At Young Eric Trump’s Birthday Party?	Does This Photo Show Lev Parnas At Young Eric Trump’s Birthday Party?
212	Was Rick Fox A Passenger In The Helicopter Crash That Killed Kobe Bryant And 8 Others?	Was Rick Fox A Passenger In The Helicopter Crash That Killed Kobe Bryant And 8 Others?
213	Does This Video Show Kanye West Riding A Donkey Into Church?	Does This Video Show Kanye West Riding A Donkey Into Church?
214	Video Claims A NYC Restaurant Got A License To Serve Human Meat	Video Claims A NYC Restaurant Got A License To Serve Human Meat
215	Does This Photo Show Democratic Members Of Congress Sitting During The Pledge?	Does This Photo Show Democratic Members Of Congress Sitting During The Pledge?
216	Did LeBron James Tell The NBA, ‘Dump The Anthem, Or I’ll Quit’?	Did LeBron James Tell The NBA, ‘Dump The Anthem, Or I’ll Quit’?
217	Did The Jamkaran Mosque In Iran Raise A Red Flag Of Revenge For ‘The First Time In History’?	Did The Jamkaran Mosque In Iran Raise A Red Flag Of Revenge For ‘The First Time In History’?
218	Did George Zimmerman Get Into A Fight With Rapper Boosie Badazz?	Did George Zimmerman Get Into A Fight With Rapper Boosie Badazz?
219	Do These Viral Images Show The Missiles Iran Fired At Military Bases Housing US Troops In Iraq?	Do These Viral Images Show The Missiles Iran Fired At Military Bases Housing US Troops In Iraq?
220	Is This A NASA Satellite Image Of The Australian Wildfires?	Is This A NASA Satellite Image Of The Australian Wildfires?
221	Does This Photo Show A Dog Former NFL Player Michael Vick Abused?	Does This Photo Show A Dog Former NFL Player Michael Vick Abused?
222	Viral Meme Claims Ilhan Omar ‘Threatened’ To Send Shawarma To Republican Members Of Congress	Viral Meme Claims Ilhan Omar ‘Threatened’ To Send Shawarma To Republican Members Of Congress
223	Does This Image Show 5 US Soldiers Killed ‘This Tuesday’ In A Helicopter Crash?	Does This Image Show 5 US Soldiers Killed ‘This Tuesday’ In A Helicopter Crash?
224	Does This Photo Show Australian Fires From Above?	Does This Photo Show Australian Fires From Above?
225	Did Fox News Change Its Accreditation From ‘News’ To ‘Entertainment’?	Did Fox News Change Its Accreditation From ‘News’ To ‘Entertainment’?
226	Did Governor Ralph Northam Threaten To Have People Killed If They Don’t Give Up Their Guns?	Did Governor Ralph Northam Threaten To Have People Killed If They Don’t Give Up Their Guns?
227	‘Stopping Hillary Is A Short-Term Solution’ – Did Andy Borowitz Make This Statement About Clinton?	‘Stopping Hillary Is A Short-Term Solution’ – Did Andy Borowitz Make This Statement About Clinton?
228	Viral Image Claims Professor Anthony Pappas Is Ocasio-Cortez’s Only 2020 Challenger	Viral Image Claims Professor Anthony Pappas Is Ocasio-Cortez’s Only 2020 Challenger
229	Did Four Democratic Senators Switch Parties Because They Oppose Trump’s Impeachment?	Did Four Democratic Senators Switch Parties Because They Oppose Trump’s Impeachment?
230	Does This Photo Show Adam Schiff Posing With Jeffrey Epstein?	Does This Photo Show Adam Schiff Posing With Jeffrey Epstein?
231	Is Trump Asking People To Forward An Email About ‘The TRUMP Rules’?	Is Trump Asking People To Forward An Email About ‘The TRUMP Rules’?
232	Does This Photo Show A Boy Sleeping Between His Parents’ Graves In Syria?	Does This Photo Show A Boy Sleeping Between His Parents’ Graves In Syria?
233	2020 Census Hoax Claims Robbers Are Posing As ‘Department Of Home Affairs’ Officials	2020 Census Hoax Claims Robbers Are Posing As ‘Department Of Home Affairs’ Officials
234	Viral Image Claims To Show Barack Obama In A Black Panther Uniform	Viral Image Claims To Show Barack Obama In A Black Panther Uniform
235	Viral Meme Claims There Have Been No Bacon Recalls In 2019	Viral Meme Claims There Have Been No Bacon Recalls In 2019
236	Are Human Traffickers Putting Zip Ties On Windshield Wipers To Distract Victims?	Are Human Traffickers Putting Zip Ties On Windshield Wipers To Distract Victims?
237	Did Kenya Introduce The Death Penalty For Wildlife Poachers?	Did Kenya Introduce The Death Penalty For Wildlife Poachers?
238	Did Trump Claim 40,000 People Attended His Recent Michigan Rally?	Did Trump Claim 40,000 People Attended His Recent Michigan Rally?
239	No, The Wall Street Journal Didn’t Run Opposing Headlines For The Same Story To Influence Readers	No, The Wall Street Journal Didn’t Run Opposing Headlines For The Same Story To Influence Readers
240	Does This Photo Show Trump Signing A $25 Million ‘Gun Control Research’ Bill?	Does This Photo Show Trump Signing A $25 Million ‘Gun Control Research’ Bill?
241	Did Barbara Walters Author This Statement Criticizing Jane Fonda For Visiting North Vietnam?	Did Barbara Walters Author This Statement Criticizing Jane Fonda For Visiting North Vietnam?
242	Viral Image Claims The Constitution Allows The President To Seek Extra Terms If Impeached But Not Removed	Viral Image Claims The Constitution Allows The President To Seek Extra Terms If Impeached But Not Removed
243	Did A Wisconsin Mall Santa And His Elves Beat Up A Child Molester?	Did A Wisconsin Mall Santa And His Elves Beat Up A Child Molester?
244	Did Trump Predict Brexit At His Scottish Golf Course ‘The Day Before’ The Vote?	Did Trump Predict Brexit At His Scottish Golf Course ‘The Day Before’ The Vote?
245	Does China Produce 90% Of Global Carbon Emissions?	Does China Produce 90% Of Global Carbon Emissions?
246	Do These Photos Show Directed-Energy Weapons Starting Wildfires?	Do These Photos Show Directed-Energy Weapons Starting Wildfires?
247	Do These Viral Photos Show The Stanford Law Professor Who Testified At The Impeachment Hearings?	Do These Viral Photos Show The Stanford Law Professor Who Testified At The Impeachment Hearings?
248	Did Tim Tebow Kneel During The National Anthem To Protest Against Abortion?	Did Tim Tebow Kneel During The National Anthem To Protest Against Abortion?
249	Does This Photo Show The Ukraine Whistleblower ‘Standing With The Obama Administration’ The Day After Trump’s 2016 Election?	Does This Photo Show The Ukraine Whistleblower ‘Standing With The Obama Administration’ The Day After Trump’s 2016 Election?
250	Did Hillary Clinton, Barack Obama And Condoleezza Rice Pose For Photos With Osama bin Laden?	Did Hillary Clinton, Barack Obama And Condoleezza Rice Pose For Photos With Osama bin Laden?
251	Viral Image Claims To Show A ’28th Amendment’ That ‘Hasn’t Been Upheld In Years’	Viral Image Claims To Show A ’28th Amendment’ That ‘Hasn’t Been Upheld In Years’
252	Viral Image Claims To Show A New York Times Article About Nevada Primary Polls	Viral Image Claims To Show A New York Times Article About Nevada Primary Polls
253	Do These Images Show The Ukraine Whistleblower Posing With Democrats?	Do These Images Show The Ukraine Whistleblower Posing With Democrats?
254	Did Karl Marx Say, ‘The Last Capitalist We Hang Shall Be The One Who Sold Us The Rope’?	Did Karl Marx Say, ‘The Last Capitalist We Hang Shall Be The One Who Sold Us The Rope’?
255	Did Robert Mueller Tweet Back At Donald Trump Over An ‘Illegal Witch Hunt’ Tweet?	Did Robert Mueller Tweet Back At Donald Trump Over An ‘Illegal Witch Hunt’ Tweet?
256	Did George Washington Say, ‘Agriculture Is The Most Healthful, Most Useful And Most Noble Employment Of Man’?	Did George Washington Say, ‘Agriculture Is The Most Healthful, Most Useful And Most Noble Employment Of Man’?
257	Did Ellen DeGeneres Say, ‘8 Years. No Scandals. We Sure Are Going To Miss The Obamas’?	Did Ellen DeGeneres Say, ‘8 Years. No Scandals. We Sure Are Going To Miss The Obamas’?
258	Did Adam Schiff Use Tax Dollars To Settle A Sexual Harassment Lawsuit With A 19-Year-Old Man?	Did Adam Schiff Use Tax Dollars To Settle A Sexual Harassment Lawsuit With A 19-Year-Old Man?
259	‘Book Of Yeezus’ – Did Kanye West Publish A Bible That Replaces ‘God’ With His Name?	‘Book Of Yeezus’ – Did Kanye West Publish A Bible That Replaces ‘God’ With His Name?
260	Does This Image Show Young Donald Trump In 1952?	Does This Image Show Young Donald Trump In 1952?
261	Did A Supreme Court Order Reveal The Smithsonian Was Involved In A Cover-Up To ‘Protect The Mainstream Chronology Of Human Evolution’?	Did A Supreme Court Order Reveal The Smithsonian Was Involved In A Cover-Up To ‘Protect The Mainstream Chronology Of Human Evolution’?
262	Are Border Apprehensions Down 70% Since May, As Trump Says?	Are Border Apprehensions Down 70% Since May, As Trump Says?
263	Did Alexis De Tocqueville Say, ‘A Decline Of Public Morals In The United States Will Probably Be Marked By The Abuse Of The Power Of Impeachment’?	Did Alexis De Tocqueville Say, ‘A Decline Of Public Morals In The United States Will Probably Be Marked By The Abuse Of The Power Of Impeachment’?
264	Did The Kaiser Permanente CEO Die Just Days After Getting A Flu Shot?	Did The Kaiser Permanente CEO Die Just Days After Getting A Flu Shot?
265	Did Hillary Clinton Say, ‘We Must Guard The Future From The Idiocy And Ignorance Of The Trump Deplorables’?	Did Hillary Clinton Say, ‘We Must Guard The Future From The Idiocy And Ignorance Of The Trump Deplorables’?
266	Did LeBron James Wear A “Same Crime” Protest T-Shirt?	Did LeBron James Wear A “Same Crime” Protest T-Shirt?
267	No, Tribal Leaders Didn’t Give Barack Obama A Derogatory Native American Name	No, Tribal Leaders Didn’t Give Barack Obama A Derogatory Native American Name
268	Viral Image Claims To Show Former NFL Players Joe Namath And Al Woodall Kneeling During The National Anthem	Viral Image Claims To Show Former NFL Players Joe Namath And Al Woodall Kneeling During The National Anthem
269	‘Democrats Ask, “Why Even Have A Second Amendment?”‘ – Did CNN Run This News Chyron?	‘Democrats Ask, “Why Even Have A Second Amendment?”‘ – Did CNN Run This News Chyron?
270	Is Texas The Only State That Can Fly Its Flag At The Same Height As The American Flag?	Is Texas The Only State That Can Fly Its Flag At The Same Height As The American Flag?
271	Is Olive Garden Funding Trump’s Re-Election Campaign?	Is Olive Garden Funding Trump’s Re-Election Campaign?
272	Meme Allegedly Shows An Italian Interpreter Reacting To Trump Saying The US And Italy ‘Have Been Allies Since Ancient Rome’	Meme Allegedly Shows An Italian Interpreter Reacting To Trump Saying The US And Italy ‘Have Been Allies Since Ancient Rome’
273	Did BART Transit Police Arrest A Man For Eating A Sandwich On The Platform?	Did BART Transit Police Arrest A Man For Eating A Sandwich On The Platform?
274	Did Plato Say, ‘You Can Discover More About A Person In An Hour Of Play Than In A Year Of Conversation’?	Did Plato Say, ‘You Can Discover More About A Person In An Hour Of Play Than In A Year Of Conversation’?
275	Viral Image Claims To Show Barack Obama Kissing Hugo Chavez	Viral Image Claims To Show Barack Obama Kissing Hugo Chavez
276	Did Four Republicans Vote To Impeach Trump?	Did Four Republicans Vote To Impeach Trump?
277	Did Einstein Say, ‘The Difference Between Stupidity And Genius Is That Genius Has Its Limits’?	Did Einstein Say, ‘The Difference Between Stupidity And Genius Is That Genius Has Its Limits’?
278	Did Ilhan Omar Say, ‘Trump Is Taking Benefits Away From Black Americans By Giving Them Jobs’?	Did Ilhan Omar Say, ‘Trump Is Taking Benefits Away From Black Americans By Giving Them Jobs’?
279	Did Morgan Freeman Propose A Holiday To Reduce Light Pollution On Twitter?	Did Morgan Freeman Propose A Holiday To Reduce Light Pollution On Twitter?
280	Did Herman Melville Say, ‘A Thousand Fibers Connect Us With Our Fellow Men’?	Did Herman Melville Say, ‘A Thousand Fibers Connect Us With Our Fellow Men’?
281	Did John Dryden Say, ‘We First Make Our Habits, And Then Our Habits Make Us’?	Did John Dryden Say, ‘We First Make Our Habits, And Then Our Habits Make Us’?
282	Did Bill Gates Say, ‘I Choose A Lazy Person To Do A Hard Job’?	Did Bill Gates Say, ‘I Choose A Lazy Person To Do A Hard Job’?
283	Did Thomas Jefferson Say, ‘When The People Fear The Government, There Is Tyranny’?	Did Thomas Jefferson Say, ‘When The People Fear The Government, There Is Tyranny’?
284	Did Michelle Obama Say, ‘White Folks Are What’s Wrong With America’?	Did Michelle Obama Say, ‘White Folks Are What’s Wrong With America’?
285	Did George Washington Say This Quote About The ‘Willingness With Which Our Young People Are Likely To Serve In Any War’?	Did George Washington Say This Quote About The ‘Willingness With Which Our Young People Are Likely To Serve In Any War’?
286	Was Trump ‘Praised’ By Tom Selleck In A ‘Meeting’ With Breitbart?	Was Trump ‘Praised’ By Tom Selleck In A ‘Meeting’ With Breitbart?
287	Does This Photo Show Soldiers ‘Crying And Visibly Shaken’ Over Trump’s Syrian Withdrawal?	Does This Photo Show Soldiers ‘Crying And Visibly Shaken’ Over Trump’s Syrian Withdrawal?
288	Did Protestors Carry A Banner That Says, ‘Assassinate Republicans That Defeat Democrats’?	Did Protestors Carry A Banner That Says, ‘Assassinate Republicans That Defeat Democrats’?
289	Do Only 25% Of Americans Support Impeachment, As Trump Claims?	Do Only 25% Of Americans Support Impeachment, As Trump Claims?
290	Did No Mainstream Media Outlets Cover A Story Of Fetal Remains Being Discovered On A Deceased Abortion Doctor’s Property?	Did No Mainstream Media Outlets Cover A Story Of Fetal Remains Being Discovered On A Deceased Abortion Doctor’s Property?
291	Did Marcus Aurelius Say, ‘Everything We Hear Is An Opinion, Not A Fact’?	Did Marcus Aurelius Say, ‘Everything We Hear Is An Opinion, Not A Fact’?
292	Did George Washington Say, ‘When Any Nation Mistrusts Its Citizens With Guns, It’s Sending A Clear Message’?	Did George Washington Say, ‘When Any Nation Mistrusts Its Citizens With Guns, It’s Sending A Clear Message’?
293	Meme Claims El Chapo Testified That He Gave Money To Hillary Clinton, Nancy Pelosi And Adam Schiff	Meme Claims El Chapo Testified That He Gave Money To Hillary Clinton, Nancy Pelosi And Adam Schiff
294	Viral Image Claims To Show George Soros In A Nazi Uniform	Viral Image Claims To Show George Soros In A Nazi Uniform
295	Does This Image Show The Crowd Outside Trump’s Minnesota Rally?	Does This Image Show The Crowd Outside Trump’s Minnesota Rally?
296	Did Benjamin Franklin Say, ‘By Failing To Prepare, You Are Preparing To Fail’?	Did Benjamin Franklin Say, ‘By Failing To Prepare, You Are Preparing To Fail’?
297	Did The Federalist Papers Say, ‘The Constitution Of The United States Limits The Power Of The Federal Government, Not The People’?	Did The Federalist Papers Say, ‘The Constitution Of The United States Limits The Power Of The Federal Government, Not The People’?
298	Did Massachusetts Ban Vaping From Safe Injection Sites?	Did Massachusetts Ban Vaping From Safe Injection Sites?
299	Did George Bernard Shaw Say A Quote Comparing Apples To Ideas?	Did George Bernard Shaw Say A Quote Comparing Apples To Ideas?
300	Did Vermont Gov. Phil Scott Vote To Impeach President Trump?	Did Vermont Gov. Phil Scott Vote To Impeach President Trump?
301	Did Voltaire Say, ‘To Learn Who Rules Over You, Simply Find Out Who You Are Not Allowed To Criticize’?	Did Voltaire Say, ‘To Learn Who Rules Over You, Simply Find Out Who You Are Not Allowed To Criticize’?
302	Does This Image Show Trash Left By Climate Change Protestors In Chicago?	Does This Image Show Trash Left By Climate Change Protestors In Chicago?
303	Did Charles Darwin Say This Quote About Biology?	Did Charles Darwin Say This Quote About Biology?
304	Did Kevin McCarthy Say, ‘There Are No Mass Shootings In Japan Because There Are No Video Games There’?	Did Kevin McCarthy Say, ‘There Are No Mass Shootings In Japan Because There Are No Video Games There’?
305	Does This Photo Show A Jaguar Being Rescued From The Amazon Wildfires?	Does This Photo Show A Jaguar Being Rescued From The Amazon Wildfires?
306	Did Thomas Jefferson Say, ‘Freedom Is Lost Gradually From An Uninterested, Uninformed And Unresponsive People’?	Did Thomas Jefferson Say, ‘Freedom Is Lost Gradually From An Uninterested, Uninformed And Unresponsive People’?
307	Did Thomas Jefferson Say, ‘It Is The Responsibility Of Every American To Be Informed’?	Did Thomas Jefferson Say, ‘It Is The Responsibility Of Every American To Be Informed’?
308	Did Andrew Jackson Say, ‘One Man With Courage Makes A Majority’?	Did Andrew Jackson Say, ‘One Man With Courage Makes A Majority’?
309	No, These Female Trump Supporters Weren’t Actually Wearing ‘I’m A Racist B**ch’ Shirts	No, These Female Trump Supporters Weren’t Actually Wearing ‘I’m A Racist B**ch’ Shirts
310	Did Napoleon Say, ‘Religious Wars Are Basically People Killing Each Other Over Who Has The Better Imaginary Friend’?	Did Napoleon Say, ‘Religious Wars Are Basically People Killing Each Other Over Who Has The Better Imaginary Friend’?
311	Does This Photo Show The Crowd At The ‘Storm Area 51’ Event?	Does This Photo Show The Crowd At The ‘Storm Area 51’ Event?
312	Did Shakespeare Say, ‘Expectation Is The Root Of All Heartache’?	Did Shakespeare Say, ‘Expectation Is The Root Of All Heartache’?
313	Did Andy Rooney Make This Statement Defending Prayer?	Did Andy Rooney Make This Statement Defending Prayer?
314	Did Clint Eastwood Die From A Heart Attack Like This Facebook Post Claims?	Did Clint Eastwood Die From A Heart Attack Like This Facebook Post Claims?
315	Did An 11-Year-Old Girl Kill Two Illegal Immigrants During An Attempted Home Invasion?	Did An 11-Year-Old Girl Kill Two Illegal Immigrants During An Attempted Home Invasion?
316	Did C.S. Lewis Say, ‘You Do Not Have A Soul. You Are A Soul. You Have A Body’?	Did C.S. Lewis Say, ‘You Do Not Have A Soul. You Are A Soul. You Have A Body’?
317	Did E.M. Forster Say, ‘We Must Be Willing To Let Go Of The Life We Have Planned’?	Did E.M. Forster Say, ‘We Must Be Willing To Let Go Of The Life We Have Planned’?
318	Do These Images Show The Differences Between The Environmental Impact Of Lithium Mining And Oil Sands Extraction?	Do These Images Show The Differences Between The Environmental Impact Of Lithium Mining And Oil Sands Extraction?
319	Did Agatha Christie Say, ‘The Secret Of Getting Ahead Is Getting Started’?	Did Agatha Christie Say, ‘The Secret Of Getting Ahead Is Getting Started’?
320	Did George Washington Say This Quote About Liberty?	Did George Washington Say This Quote About Liberty?
321	Did Abraham Lincoln Say, ‘Things May Come To Those Who Wait, But Only The Things Left By Those Who Hustle’?	Did Abraham Lincoln Say, ‘Things May Come To Those Who Wait, But Only The Things Left By Those Who Hustle’?
322	Did Mark Twain Say, ‘If Voting Made A Difference, They Wouldn’t Let Us Do It’?	Did Mark Twain Say, ‘If Voting Made A Difference, They Wouldn’t Let Us Do It’?
323	Did Voltaire Say, ‘I May Disapprove Of What You Say, But I Will Defend To The Death Your Right To Say It’?	Did Voltaire Say, ‘I May Disapprove Of What You Say, But I Will Defend To The Death Your Right To Say It’?
324	Viral Meme Claims A Cop Shot A Teen 53 Times After He Tried To Sneak Into A Chicago Gym	Viral Meme Claims A Cop Shot A Teen 53 Times After He Tried To Sneak Into A Chicago Gym
325	Did Shakespeare Say, ‘The Earth Has Music For Those Who Listen’?	Did Shakespeare Say, ‘The Earth Has Music For Those Who Listen’?
326	Does This Image Show A Bahamian Town Destroyed By Hurricane Dorian?	Does This Image Show A Bahamian Town Destroyed By Hurricane Dorian?
327	Did Muhammad Ali Say This Quote About The ‘Impossible’?	Did Muhammad Ali Say This Quote About The ‘Impossible’?
328	No, Kevin Hart Was Not Paralyzed ‘From The Neck Down’ In A Car Accident	No, Kevin Hart Was Not Paralyzed ‘From The Neck Down’ In A Car Accident
329	Did Immanuel Kant Say A Quote About Science And Wisdom?	Did Immanuel Kant Say A Quote About Science And Wisdom?
330	Did Ocasio-Cortez Tweet About Electric Cars During Hurricane Dorian?	Did Ocasio-Cortez Tweet About Electric Cars During Hurricane Dorian?
331	Does This Quote About Money Come From ‘Fight Club’?	Does This Quote About Money Come From ‘Fight Club’?
332	Did Plato Say ‘Only The Dead Have Seen The End Of War’?	Did Plato Say ‘Only The Dead Have Seen The End Of War’?
333	Did Bill Gates Say, ‘Be Nice To Nerds. Chances Are You’ll End Up Working For One’?	Did Bill Gates Say, ‘Be Nice To Nerds. Chances Are You’ll End Up Working For One’?
334	Did Oscar Wilde Say, ‘Be Yourself; Everyone Else Is Already Taken’?	Did Oscar Wilde Say, ‘Be Yourself; Everyone Else Is Already Taken’?
335	Did Bertrand Russell Say, ‘War Does Not Determine Who Is Right – Only Who Is Left’?	Did Bertrand Russell Say, ‘War Does Not Determine Who Is Right – Only Who Is Left’?
336	Did Ocasio-Cortez Say, ‘Under Capitalism, Man Oppresses Man. Under Socialism, It’s The Other Way Around’?	Did Ocasio-Cortez Say, ‘Under Capitalism, Man Oppresses Man. Under Socialism, It’s The Other Way Around’?
337	Did Albert Einstein Say, ‘Two Things Inspire Me To Awe – The Starry Heavens Above And The Moral Universe Within’?	Did Albert Einstein Say, ‘Two Things Inspire Me To Awe – The Starry Heavens Above And The Moral Universe Within’?
338	‘I Want To Overthrow It’ — Did Machiavelli Say This Quote About The Status Quo?	‘I Want To Overthrow It’ — Did Machiavelli Say This Quote About The Status Quo?
339	Did Winston Churchill Say This Quote About Courage?	Did Winston Churchill Say This Quote About Courage?
340	Did George Washington Say This Quote About Government?	Did George Washington Say This Quote About Government?
341	Did Thomas Jefferson Say This Quote About Standing By Your Principles?	Did Thomas Jefferson Say This Quote About Standing By Your Principles?
342	Did Kamala Harris Say, ‘After We Impeach, We Round Up The Trump Supporters’?	Did Kamala Harris Say, ‘After We Impeach, We Round Up The Trump Supporters’?
343	Did MLK Say, ‘I Will Not Rejoice In The Death Of One, Not Even An Enemy’?	Did MLK Say, ‘I Will Not Rejoice In The Death Of One, Not Even An Enemy’?
344	Did Ralph Waldo Emerson Say This Quote About ‘What Lies Within Us’?	Did Ralph Waldo Emerson Say This Quote About ‘What Lies Within Us’?
345	Did Plato Say, ‘Be Kind, Everyone You Meet Is Fighting A Hard Battle’?	Did Plato Say, ‘Be Kind, Everyone You Meet Is Fighting A Hard Battle’?
346	Have Congressional Salaries Gone Up 231% In The Past 30 Years?	Have Congressional Salaries Gone Up 231% In The Past 30 Years?
347	Does This Photo Show House Democrats Vacationing In Italy?	Does This Photo Show House Democrats Vacationing In Italy?
348	‘Eat A Live Frog’ — Did Mark Twain Tell People To Do This Every Morning?	‘Eat A Live Frog’ — Did Mark Twain Tell People To Do This Every Morning?
349	Did Cicero Say This Quote About Ancient Rome?	Did Cicero Say This Quote About Ancient Rome?
350	Did Obama’s Portrait Fall Off The Wall During The Unveiling Of Trump’s Portrait At The Colorado Capitol?	Did Obama’s Portrait Fall Off The Wall During The Unveiling Of Trump’s Portrait At The Colorado Capitol?
351	Did Jim Carrey Say, ‘Society Is Collapsing’?	Did Jim Carrey Say, ‘Society Is Collapsing’?
352	Did Bertrand Russell Say, ‘The Time You Enjoy Wasting Is Not Wasted Time’?	Did Bertrand Russell Say, ‘The Time You Enjoy Wasting Is Not Wasted Time’?
353	Did Marilyn Monroe Say, ‘Give A Girl The Right Shoes And She Can Conquer The World’?	Did Marilyn Monroe Say, ‘Give A Girl The Right Shoes And She Can Conquer The World’?
354	Did Thomas Jefferson Say, ‘Information Is The Currency Of Democracy’?	Did Thomas Jefferson Say, ‘Information Is The Currency Of Democracy’?
355	Did Charles Darwin Say This Quote About Natural Selection?	Did Charles Darwin Say This Quote About Natural Selection?
356	Did Franz Kafka Say, ‘Follow Your Most Intense Obsessions Mercilessly’?	Did Franz Kafka Say, ‘Follow Your Most Intense Obsessions Mercilessly’?
357	Viral Quote Attributed To Nelson Mandela Is Actually From Marianne Williamson	Viral Quote Attributed To Nelson Mandela Is Actually From Marianne Williamson
358	Did Trump Tweet, ‘Handicapped And Minority Children Are Too Disruptive In the Classroom’?	Did Trump Tweet, ‘Handicapped And Minority Children Are Too Disruptive In the Classroom’?
359	‘You Have Enemies? Good’ — Did Winston Churchill Say This Quote?	‘You Have Enemies? Good’ — Did Winston Churchill Say This Quote?
360	Did Werner Herzog Compare Present-Day America To Nazi Germany?	Did Werner Herzog Compare Present-Day America To Nazi Germany?
361	Viral Image Claims That Fox News Isn’t Covering The Mueller Hearings	Viral Image Claims That Fox News Isn’t Covering The Mueller Hearings
362	Did Ernest Hemingway Say, ‘I Love Sleep. My Life Has The Tendency To Fall Apart When I’m Awake’?	Did Ernest Hemingway Say, ‘I Love Sleep. My Life Has The Tendency To Fall Apart When I’m Awake’?
363	Did Leonardo Da Vinci Say, ‘Simplicity Is The Ultimate Sophistication’?	Did Leonardo Da Vinci Say, ‘Simplicity Is The Ultimate Sophistication’?
364	Did Trump Point To A Sign That Says ‘Go Back To The S***hole You Came From’?	Did Trump Point To A Sign That Says ‘Go Back To The S***hole You Came From’?
365	Did Ralph Waldo Emerson Say This Quote About Trailblazing?	Did Ralph Waldo Emerson Say This Quote About Trailblazing?
366	Did Carl Sagan Say This Quote About Truth?	Did Carl Sagan Say This Quote About Truth?
367	Did Ocasio-Cortez Say, ‘Truck Drivers Are Destroying America’?	Did Ocasio-Cortez Say, ‘Truck Drivers Are Destroying America’?
368	Did Abraham Lincoln Say, ‘The Best Way To Predict The Future Is To Create It’?	Did Abraham Lincoln Say, ‘The Best Way To Predict The Future Is To Create It’?
369	Is Trump 1 Of 3 People To Receive The Ellis Island Award For Helping The Black Community?	Is Trump 1 Of 3 People To Receive The Ellis Island Award For Helping The Black Community?
370	Viral Photos Of Crowded Detention Centers Were Not Taken During The Trump Administration	Viral Photos Of Crowded Detention Centers Were Not Taken During The Trump Administration
371	Was Trump Once Denied A Nevada Gaming License?	Was Trump Once Denied A Nevada Gaming License?
372	Did Nathaniel Hawthorne Say, ‘Happiness Is A Butterfly, Which When Pursued, Is Always Just Beyond Your Grasp’?	Did Nathaniel Hawthorne Say, ‘Happiness Is A Butterfly, Which When Pursued, Is Always Just Beyond Your Grasp’?
373	Did Einstein Say, ‘Creativity Is Contagious. Pass It On’?	Did Einstein Say, ‘Creativity Is Contagious. Pass It On’?
