	tweet_content
1776	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
LONDON, Friday, April 5. -- Although the final result of the miners' ballot showed a majority of 42,998 in 445,000 votes against returning to work, the miners' Executive Committee yesterday decided to recommend the Miners' Federation to advise the resumption of work. View Full Article in Timesmachine »"
1777	"Credit... The New York Times Archives
April 5, 1912 , Page 10 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 10 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1778	"Credit... The New York Times Archives
April 5, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1779	"Credit... The New York Times Archives
April 5, 1912 , Page 4 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 4 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1780	"Credit... The New York Times Archives
April 5, 1912 , Page 6 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 6 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1781	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1782	"Credit... The New York Times Archives
April 5, 1912 , Page 16 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 16 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1783	"Credit... The New York Times Archives
April 5, 1912 , Page 10 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 10 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1784	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
CHRISTCHURCH N.Z., April 4. -- The Central News is authorized to make public extracts from a private letter writte n by Capt. Scott under date of Oct. 28. on the eve of his departure south The letter, of course, was not written with a, view to publication, but it indicates very clearly that Capt. Scott never had any intention to race with Capt. Amundsen for the south pole. View Full Article in Timesmachine »"
1785	"Credit... The New York Times Archives
April 5, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1786	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1787	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
The New York Alumni of Phillips Exeter Academy held their thirtieth annual dinner at the Hotel Manhattan last night. Principal Harlan P. Amen, 75, told of the past glories and bright prospects of Exeter. Banners bearing the dates 1783-1912 draped every space on the walls excepting only those spots ""which gleamed even brighter,"" as one of the speaker's put it, with the paintings of beautiful women. View Full Article in Timesmachine »"
1788	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
The new ""stepless car"" of the New York Railways Company went into practical operation yesterday. It made two and a half stepless trips between Central Park and the Battery, following Seventh Avenue to Times Square, thence into Broadway to South Ferry. Passengers moved on and off, and the pneumatic doors opened and shut with a scientific whistle; the automatic ventilators ventilated and the antiseptic handholds worked continuously for the public health. View Full Article in Timesmachine »"
1789	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
LONDON, April 4. -- Clark A. Miller and Alfred H. Motley, carrying on a lithographing business as Miller Motley at 19 Cursitor Street, Chancery Lane, who were arrested late last night following instructions from the United States Government through the American Embassy, were arraigned at Bow Street Court this morning before Sir Albert B. Rutzen and held without ball for further examination on Saturday. View Full Article in Timesmachine »"
1790	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1791	"LONDON, April 4. -- Munificent bequests to hospitals accompanied by the declaration that ""I don't wish that my name should be in any way associated with these sums in the future,"" are the feature of Lord Lister's will, which was filed for probate to-day. He bequeathed 10,000 ($50,000) each to four London hospitals and double that amount to the Lister Institute of Preventive Medicine. View Full Article in Timesmachine »"
1792	"Credit... The New York Times Archives
April 5, 1912 , Page 5 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 5 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1793	"Credit... The New York Times Archives
April 5, 1912 , Page 4 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 4 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1794	"Credit... The New York Times Archives
April 5, 1912 , Page 12 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 12 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1795	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
B.M. Higginson, Jr., a former Harvard gunner, wearing the colors of the New York A.C., won the seventh annual National championship at clay birds over the Travers Island traps of the New York A.C. yesterday. The winner made the wonderful score of 185 out of a possible 200 targets, breaking the previous record, held by former Champion H.W. Kahler, by 12 targets. View Full Article in Timesmachine »"
1796	"Credit... The New York Times Archives
April 5, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1797	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
The Appellate Division of the Supreme Court for this county, which was to have heard arguments on the appeal from the writ of habeas corpus issued by Justice Gerard releasing Foulke E. Brandt from Dannemora Prison, adjourned the proceedings until May 3 yesterday on the motion of Mirabeau L. Towns, counsel for Brandt. View Full Article in Timesmachine »"
1798	"Credit... The New York Times Archives
April 5, 1912 , Page 2 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 2 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1799	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
WASHINGTON, April 4. -- Representative Augustus P. Gardner of Massachusetts, son-in-law of Senator Henry Cabot Lodge, joined issue squarely with Mr. Lodge's old friend Col. Roosevelt today on the recall of Judges and of decisions. In an impassioned speech in the House Mr. Gardner, who has always ecupted himself a Progressive, told why he could not accept such doctrines as this from Col. Roosevelt. View Full Article in Timesmachine »"
1800	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1801	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1802	There has been little talk as to the Republican candidate for the Vice Presidency. That there has been a great deal of hard thinking on the subject, especially in the counties of Oneida and Herkimer, this State, is generally known, but they who think the most talk the least. Wednesday, however, Mr. CHARLES K. FAIRBANKS of Indiana achieved an issue. View Full Article in Timesmachine »
1803	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1804	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
ST. LOUIS, Mo., April 4. -- Thousands of men are working to-night throughout the valley regions to keep back the Mississippi's waters, which are being reinforced hourly by the rush of the Ohio flood. At a late hour there was no sign of abatement. View Full Article in Timesmachine »"
1805	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1806	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
WITH GEN. CAMPA'S LIBERAL ARMY, near Parral, Mexico, April 2 -- (By Courier to El Paso, April 4.) -- The defeat of Gen. Campa in his attack on Parral to-day was a rout. The Federal defenders of the city had been reinforced, and all but surrounded the rebel command, which did well to escape destruction. View Full Article in Timesmachine »"
1807	"Credit... The New York Times Archives
April 5, 1912 , Page 18 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 18 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1808	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
The so-called Goethals incident has been ""elosed"" in a very simple manner. The German Ambassador at Washington has informed the Berlin Foreign Office that the comments of the German press on Col. GOETHALS'S remarks and the Imperial denial were based on a garbled report. View Full Article in Timesmachine »"
1809	"Credit... The New York Times Archives
April 5, 1912 , Page 17 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 17 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1810	"Credit... The New York Times Archives
April 5, 1912 , Page 17 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 17 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1811	The statement in the Topics of the Times in Monday's TIMES that the Hillsville killers of court officials have proved that they were quite like other criminals when the law fell upon them with all its power is quite correct, and the romanticism of their criminal acts as due to their environment and heredity, believed in among those of a wider enlightenment, is, as he says, no excuse for sympathy. View Full Article in Timesmachine »
1812	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1813	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
POUGHKEEPSIE, N.Y., April 4. -- Owing to the envy caused among the girls of the sophomore class each year by the selection of the twenty-four prettiest girls of the class to carry the world-famous Vassar daisy chain, the members of the Faculty and the officials of the college are seriously considering the suspension of the custom. View Full Article in Timesmachine »"
1814	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
According to the latest advices from the scene of the Olympic Games at Stockholm, this year's Marathon race will not be over a straight-away course, but twelve miles out and over the same road, starting from the Stadium and going almost due north to the village of Sollentuna and back to the track. View Full Article in Timesmachine »"
1815	"Credit... The New York Times Archives
April 5, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1816	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1817	"Credit... The New York Times Archives
April 5, 1912 , Page 8 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 8 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1818	"Credit... The New York Times Archives
April 5, 1912 , Page 6 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 6 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1819	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
After a lapse of several years England will make another attempt to capture the amateur court tennis championship of the United States. Verne Pennell, one of the best amateur racquet wielders in England, has been drawn against C. Russell of the Boston Tennis and Racquet Club in the opening round of the amateur tennis championship on April 8 at the New York Racquet and Tennis Club. View Full Article in Timesmachine »"
1820	"Credit... The New York Times Archives
April 5, 1912 , Page 4 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 4 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1821	"Credit... The New York Times Archives
April 5, 1912 , Page 20 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 20 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1822	"Credit... The New York Times Archives
April 5, 1912 , Page 6 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 6 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1823	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1824	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
SAN DIEGO, Cal., April 4. -- Nearly 100 Industrial Workers of the World, all of whom admitted that they were anarchists, knelt on the ground and kissed the folds of an American flag at dawn to-day near San Onofre, a small settlement a short distance this side of the Orange County boundary line. View Full Article in Timesmachine »"
1825	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
Quick wit, feminine courage, and a hatpin put to flight a bold, daylight highwayman at Bleecker Street and Broadway last Tuesday afternoon. The heroine of the adventure was Miss Elizabeth Foley, 18 years old, bookkeeper and cashier for the William Schwartz Clothing Company of 67 Bleecker Street. View Full Article in Timesmachine »"
1826	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
LONDON, Friday, April 5. -- Premier Asquith will introduce the Irish Home Rule bill in the House of Commons next Thursday, and John Redmond, the Irish leader, has assurances that the measure will be satisfactory to the Irish people. It will be submitted for their consideration at an Irish Nationalist Convention to be held in Dublin. View Full Article in Timesmachine »"
1827	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
TimesMachine is an exclusive benefit for home delivery and digital subscribers.
See the article in its original context fromApril 5, 1912 , Page 4
PANAMA, April 4. -- John Barrett, Director General of the Bureau of American Republics, who is making a tour of Central America, arrived here to-day. He has already visited Cuba. View Full Article in Timesmachine »"
1828	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
BALTIMORE, April 4. -- The Giants went on a batting rampage in Manager McGraw's home town to-day and hammered two Baltiomre pitchers, Vickers and Frock, for fifteen hits, eight of which were two-base drives. Jack Murray, the auburn haired right fielder who went through the World's Series last fall without once tapping the ball safely, made five healthy hits to-day, two of them being doubles. View Full Article in Timesmachine »"
1829	"Credit... The New York Times Archives
April 5, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1830	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
The Appellate Division of the Supreme Court reserved decision yesterday on a motion to disbar Joseph A. Flannery, an attorney who, it is asserted, made $3,000,000 for himself by securing large awards on property held by himself in the name of dummies and bought by the city in condemnation proceedings. View Full Article in Timesmachine »"
1831	"Credit... The New York Times Archives
April 5, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1832	"Credit... The New York Times Archives
April 5, 1912 , Page 18 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 18 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1833	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
William Schimpf, ex-President of the Long Island Automobile Club, has acceded to the request of President Robert P. Hooper of the American Automobile Association, supplemented by the same desire on the part of the Manufacturers' Contest Association, expressed through President Howard E. Coffin, that he continue as Chairman of the A.A.A. Contest Board. View Full Article in Timesmachine »"
1834	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
PHILADELPHIA, April 4. -- Active recruiting for members among the unemployed miners by the organizers of the United Mine Workers, and the announcement by the Philadelphia Reading Railway that workers in its shops would be put on short-time during the suspension, were features of to-day's developments in the coal regions. View Full Article in Timesmachine »"
1835	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1836	"Credit... The New York Times Archives
April 5, 1912 , Page 4 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 4 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1837	"Credit... The New York Times Archives
April 5, 1912 , Page 24 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 24 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1838	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1839	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
LONDON, April 4. -- The Italians have created an 'entirely false impression of the real situation, in Tripoli, according to George F. Abbott, the well known jour nalist and magazine writer, who has spent the last four months at the Turkish headquarters in Tripoli and has just returned to London. View Full Article in Timesmachine »"
1840	"Credit... The New York Times Archives
April 5, 1912 , Page 8 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 8 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1841	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
The Progressive Canal and Commercial Association of the State of New York, composed of shippers and carriers of freight from Buffalo to this city, met yesterday afternoon at the offices of the New York and Canadian Canal Company, at 10 South Street, and various speakers bitterly attacked existing conditions in the Erie Canal system, declaring that ""political tricksters"" had permitted the usefulness of the great public waterway to become impaired. View Full Article in Timesmachine »"
1842	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1843	"Credit... The New York Times Archives
April 5, 1912 , Page 11 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 11 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1844	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
ALBANY, April 4. -- Senator Brackett's will, restricting the methods to be used in obtaining signatures to independent petitions, designating candidates for the official primaries, the Citizens' Union asserts would make it a crime to obtain signatures in the way usually employed in New York City. View Full Article in Timesmachine »"
1845	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
TimesMachine is an exclusive benefit for home delivery and digital subscribers.
See the article in its original context fromApril 5, 1912 , Page 13
Yesterday's TIMES contained an advertisement that read as follows: ""Well-educated, ambitious young men desirous of entering the theatrical profession write to David Belasco, 115 West Forty-fourth Street, inclosing photo. Those adverse to hard work need not reply."" View Full Article in Timesmachine »"
1846	"Credit... The New York Times Archives
April 5, 1912 , Page 2 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 2 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1847	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
Charles F. Murphy, the Tammany leader, made his power felt at the first meeting of the Democratic State Committee under the Direct Primaries act, held at the Hotel Knickerbocker yesterday, when he took steps to depose Henry P. Keith, the State Committeeman chosen at the recent primaries to represent the First Senatorial District. View Full Article in Timesmachine »"
1848	"Credit... The New York Times Archives
April 5, 1912 , Page 18 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 18 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1849	"Credit... The New York Times Archives
April 5, 1912 , Page 2 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 2 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1850	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1851	"Credit... The New York Times Archives
April 5, 1912 , Page 1 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 1 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1852	"Credit... The New York Times Archives
April 5, 1912 , Page 6 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 6 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1853	"Credit... The New York Times Archives
April 5, 1912 , Page 12 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 12 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1854	"Credit... The New York Times Archives
April 5, 1912 , Page 2 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 2 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1855	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
MIDDLETOWN, N.Y., April 4. -- Theodore Furman, the nineteen-year-old youth whom his brothers, Eugene and Joseph, accused each other of having murdered on the night of Nov. 11, 1911, reappeared in this city to-day. View Full Article in Timesmachine »"
1856	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
I am exceedingly sorry that anything like a newspaper controversy is arising over the desire on the part of the 7,000 blind of the State to secure the signature of the Governor to the Burd bill, recently passed by the Legislature for the relief of the blind. View Full Article in Timesmachine »"
1857	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
Advices from Manaos, Brazil, received in the New York crude rubber market, state that shipments of upriver rubber received in that market in the last four weeks from districts along the upper reaches of the Amazon, have been considerably lighter than estimated because of excessively low water. View Full Article in Timesmachine »"
1858	"Everybody knows and admits that the patent law has been abused and that it needs amendment. Since Chief Justice WHITE, in his dissenting opinion in the Dick, case, said that the law as construed by the court would ""ena-""ble monopolistic interest to dominate ""and limit the rights of every one in ""society,"" the Nation's lawmakers have been busy. View Full Article in Timesmachine »"
1859	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
Miss Frieda Thomas, who has been practicing law in this city since 1909, and William D. Bosler, an Assistant District Attorney under William Travers Jerome, who got a marriage license in Philadelphia on Tuesday evening, were married there that night by City Magistrate Joseph T. Call, and returned to this city Wednesday. View Full Article in Timesmachine »"
1860	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
WASHINGTON, April 4. -- Mrs. Mary E. Gage, a wealthy widow, who was accused of threatening the life of Charles J. Bell, brother of Alexander Graham Bell and President of the American Surety Trust Company, was up for a hearing to-day in the District Supreme Court. The case was continued after twelve witnesses had testified for the Government and two for Mrs. Gage. View Full Article in Timesmachine »"
1861	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
PITTSBURGH, Penn., April 4. -- Jewelry valued at $2,500 was stolen yesterday morning from the room of Mrs. George A. Amos, 159 Hawthorne Street, Brooklyn, in the residence of her sister-in-law, Mrs. William N. Sauer. The police have arrested Nellie Panar, a domestic in the Sauer home, who denies all knowledge of the robbery. View Full Article in Timesmachine »"
1862	"Credit... The New York Times Archives
April 5, 1912 , Page 13 Buy Reprints See the article in its original context fromApril 5, 1912 , Page 13 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
1863	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
Nearly one-third of yesterday's business on the Stock Exchange consisted of the trading in United States Steel. The conspicuous strength of this issue did much to influence the hopeful operations which found reflection in sharp advances in a number of other issues, but the volume of trading was much less well distributed than was the improvement in prices. View Full Article in Timesmachine »"
1864	"Lord Beaconsfield, in gray knickerbockers and a Norfolk jacket, controlled the politics of Great Britain on the roof of the Century Theatre yesterday morning, and when not engaged in that task he played ball with Lord Brooke. It was the first rehearsal of the all-children company that is to give a performance of ""Disraeli"" at Wallack's Theatre later in the month for the benefit of St. Mary's Free Hospital for Children. View Full Article in Timesmachine »"
